"id","name"
"1","Delhi"
"2","Haryana"
"3","Andhra Pradesh"
"4","Bihar"
"5","Punjab"
"6","Chhattisgarh"
"7","Himachal Pradesh"
"8","Madhya Pradesh"
"9","Jammu and Kashmir"
"10","Karnataka"
"11","Maharashtra"
"12","Orissa"
"13","Rajasthan"
"14","Uttar Pradesh"
"15","Uttarakhand"
"16","Harion"
"17","Toronto"
"18","Hamilton"
"19","Dubai"
"20","Hamburg"
"21","athens"
"22","East Bank Demerara"
"23","Cori"
"24","Dora"
"25","Malina"
"26","Glattgburgg"
"27","Middlesex"
"28","California"
"29","Fairfield"
"30","Fresno"
"31","New York"
"32","Sacramento"
"33","Chandigarh"
"34","Salmaniya"
"35","Andaman and Nicobar"
"36","Arunachal Pradesh"
"37","Assam"
"38","Dadra and Nagar Haveli"
"39","Daman and Diu"
"40","Goa"
"41","Jharkhand"
"42","Kerala"
"43","Lakshadweep"
"44","Manipur"
"45","Meghalaya"
"46","Mizoram"
"47","Nagaland"
"48","Puducherry"
"49","Sikkim"
"50","Tamilnadu"
"51","Tripura"
"52","West Bengal"

